algorithm,data_type,threshold,n,mean_ms,median_ms,stddev_ms
merge_hybrid,random,50,34800,15.6114,15.577,0.394967
merge_hybrid,random,50,34900,15.2666,15.185,0.240837
merge_hybrid,random,50,35000,16.6018,16.561,0.85905
merge_hybrid,random,50,35100,19.2704,15.462,7.73626
merge_hybrid,random,50,35200,16.1898,15.556,1.18356
merge_hybrid,random,50,35300,18.7594,18.16,1.9987
merge_hybrid,random,50,35400,16.0564,15.82,0.712225
merge_hybrid,random,50,35500,15.9414,15.838,0.580157
merge_hybrid,random,50,35600,16.9984,16.426,2.15991
merge_hybrid,random,50,35700,16.2304,16.051,0.631737
merge_hybrid,random,50,35800,16.9706,16.818,0.988757
merge_hybrid,random,50,35900,17.364,16.166,2.2847
merge_hybrid,random,50,36000,16.1558,16.154,0.189617
merge_hybrid,random,50,36100,16.7582,17.048,0.662809
merge_hybrid,random,50,36200,16.3572,16.262,0.291573
merge_hybrid,random,50,36300,16.3878,16.191,0.476973
merge_hybrid,random,50,36400,16.045,16.035,0.129238
merge_hybrid,random,50,36500,17.3934,16.413,1.4821
merge_hybrid,random,50,36600,16.3164,16.098,0.405103
merge_hybrid,random,50,36700,16.3708,16.365,0.0996883
merge_hybrid,random,50,36800,17.2968,17.372,0.234721
merge_hybrid,random,50,36900,16.1374,16.128,0.0747866
merge_hybrid,random,50,37000,16.262,16.205,0.1157
merge_hybrid,random,50,37100,17.5198,17.211,0.744986
merge_hybrid,random,50,37200,16.4206,16.387,0.140433
merge_hybrid,random,50,37300,17.5238,16.849,1.16185
merge_hybrid,random,50,37400,16.2522,16.143,0.225596
merge_hybrid,random,50,37500,16.9828,16.657,0.720352
merge_hybrid,random,50,37600,17.2256,17.07,1.13307
merge_hybrid,random,50,37700,17.9518,17.324,1.92591
merge_hybrid,random,50,37800,17.0188,16.92,0.469247
merge_hybrid,random,50,37900,18.3752,18.19,1.0319
merge_hybrid,random,50,38000,17.0888,17.369,0.432815
merge_hybrid,random,50,38100,18.1768,18.206,0.468391
merge_hybrid,random,50,38200,18.0936,17.813,0.664814
merge_hybrid,random,50,38300,19.1754,18.757,0.965572
merge_hybrid,random,50,38400,19.4324,20.051,1.13039
merge_hybrid,random,50,38500,21.2996,21.914,2.54135
merge_hybrid,random,50,38600,18.6392,18.683,0.534985
merge_hybrid,random,50,38700,19.1,18.788,1.01635
merge_hybrid,random,50,38800,18.0522,18.193,0.405931
merge_hybrid,random,50,38900,17.6676,17.475,0.417474
